state,action,value
1k1r4/R6R/8/8/8/8/5K2/8 w - - 27 79,a7b7,533
1k1r4/1R5R/8/8/8/8/5K2/8 b - - 28 79,b8a8,517
k2r4/1R5R/8/8/8/8/5K2/8 w - - 29 80,b7a7,539
k2r4/R6R/8/8/8/8/5K2/8 b - - 30 80,a8b8,534
1k1r4/R6R/8/8/8/8/5K2/8 w - - 31 81,h7b7,540
1k1r4/RR6/8/8/8/8/5K2/8 b - - 32 81,b8c8,528
2kr4/RR6/8/8/8/8/5K2/8 w - - 33 82,a7a8,539
R1kr4/1R6/8/8/8/8/5K2/8 b - - 34 82,c8b7,541
R2r4/1k6/8/8/8/8/5K2/8 w - - 0 83,a8d8,535
3R4/1k6/8/8/8/8/5K2/8 b - - 0 83,b7b6,534
3R4/8/1k6/8/8/8/5K2/8 w - - 1 84,f2e3,530
3R4/8/1k6/8/8/4K3/8/8 b - - 2 84,b6c5,525
3R4/8/8/2k5/8/4K3/8/8 w - - 3 85,d8b8,525
1R6/8/8/2k5/8/4K3/8/8 b - - 4 85,c5d5,517
1R6/8/8/3k4/8/4K3/8/8 w - - 5 86,b8c8,522
2R5/8/8/3k4/8/4K3/8/8 b - - 6 86,d5e6,517
2R5/8/4k3/8/8/4K3/8/8 w - - 7 87,c8c4,512
8/8/4k3/8/2R5/4K3/8/8 b - - 8 87,e6f7,510
8/5k2/8/8/2R5/4K3/8/8 w - - 9 88,e3f4,513
8/5k2/8/8/2R2K2/8/8/8 b - - 10 88,f7e6,504
8/8/4k3/8/2R2K2/8/8/8 w - - 11 89,c4c2,509
8/8/4k3/8/5K2/8/2R5/8 b - - 12 89,e6f6,499
8/8/5k2/8/5K2/8/2R5/8 w - - 13 90,c2a2,504
8/8/5k2/8/5K2/8/R7/8 b - - 14 90,f6g6,503
8/8/6k1/8/5K2/8/R7/8 w - - 15 91,f4g4,505
8/8/6k1/8/6K1/8/R7/8 b - - 16 91,g6f7,493
8/5k2/8/8/6K1/8/R7/8 w - - 17 92,g4g5,505
8/5k2/8/6K1/8/8/R7/8 b - - 18 92,f7e8,489
4k3/8/8/6K1/8/8/R7/8 w - - 19 93,g5f6,491
4k3/8/5K2/8/8/8/R7/8 b - - 20 93,e8d7,486
8/3k4/5K2/8/8/8/R7/8 w - - 21 94,f6e5,483
8/3k4/8/4K3/8/8/R7/8 b - - 22 94,d7c7,478
8/2k5/8/4K3/8/8/R7/8 w - - 23 95,a2a6,479
8/2k5/R7/4K3/8/8/8/8 b - - 24 95,c7d7,471
8/3k4/R7/4K3/8/8/8/8 w - - 25 96,a6a2,480
8/3k4/8/4K3/8/8/R7/8 b - - 26 96,d7c6,468
8/8/2k5/4K3/8/8/R7/8 w - - 27 97,a2g2,460
8/8/2k5/4K3/8/8/6R1/8 b - - 28 97,c6d7,455
8/3k4/8/4K3/8/8/6R1/8 w - - 29 98,g2g7,464
8/3k2R1/8/4K3/8/8/8/8 b - - 30 98,d7c6,457
8/6R1/2k5/4K3/8/8/8/8 w - - 31 99,e5f6,450
8/6R1/2k2K2/8/8/8/8/8 b - - 32 99,c6d5,442
8/6R1/5K2/3k4/8/8/8/8 w - - 33 100,g7g4,440
8/8/5K2/3k4/6R1/8/8/8 b - - 34 100,d5c6,444
8/8/2k2K2/8/6R1/8/8/8 w - - 35 101,g4g1,439
8/8/2k2K2/8/8/8/8/6R1 b - - 36 101,c6c5,434
8/8/5K2/2k5/8/8/8/6R1 w - - 37 102,f6f7,437
8/5K2/8/2k5/8/8/8/6R1 b - - 38 102,c5c4,417
8/5K2/8/8/2k5/8/8/6R1 w - - 39 103,g1g5,415
8/5K2/8/6R1/2k5/8/8/8 b - - 40 103,c4b3,417
8/5K2/8/6R1/8/1k6/8/8 w - - 41 104,f7e6,420
8/8/4K3/6R1/8/1k6/8/8 b - - 42 104,b3c4,407
8/8/4K3/6R1/2k5/8/8/8 w - - 43 105,g5d5,413
8/8/4K3/3R4/2k5/8/8/8 b - - 44 105,c4b3,398
8/8/4K3/3R4/8/1k6/8/8 w - - 45 106,d5d2,408
8/8/4K3/8/8/1k6/3R4/8 b - - 46 106,b3c3,400
8/8/4K3/8/8/2k5/3R4/8 w - - 47 107,d2f2,399
8/8/4K3/8/8/2k5/5R2/8 b - - 48 107,c3d3,390
8/8/4K3/8/8/3k4/5R2/8 w - - 49 108,e6e7,393
8/4K3/8/8/8/3k4/5R2/8 b - - 50 108,d3e4,378
8/4K3/8/8/4k3/8/5R2/8 w - - 51 109,e7f7,394
8/5K2/8/8/4k3/8/5R2/8 b - - 52 109,e4d3,371
8/5K2/8/8/8/3k4/5R2/8 w - - 53 110,f7e6,378
8/8/4K3/8/8/3k4/5R2/8 b - - 54 110,d3d4,361
8/8/4K3/8/3k4/8/5R2/8 w - - 55 111,f2f3,370
8/8/4K3/8/3k4/5R2/8/8 b - - 56 111,d4c4,369
8/8/4K3/8/2k5/5R2/8/8 w - - 57 112,e6f6,372
8/8/5K2/8/2k5/5R2/8/8 b - - 58 112,c4b4,367
8/8/5K2/8/1k6/5R2/8/8 w - - 59 113,f6g5,378
8/8/8/6K1/1k6/5R2/8/8 b - - 60 113,b4c4,366
8/8/8/6K1/2k5/5R2/8/8 w - - 61 114,f3a3,364
8/8/8/6K1/2k5/R7/8/8 b - - 62 114,c4b5,353
8/8/8/1k4K1/8/R7/8/8 w - - 63 115,a3b3,362
8/8/8/1k4K1/8/1R6/8/8 b - - 64 115,b5c4,354
8/8/8/6K1/2k5/1R6/8/8 w - - 65 116,b3a3,350
8/8/8/6K1/2k5/R7/8/8 b - - 66 116,c4b4,337
8/8/8/6K1/1k6/R7/8/8 w - - 67 117,a3e3,346
8/8/8/6K1/1k6/4R3/8/8 b - - 68 117,b4b5,341
8/8/8/1k4K1/8/4R3/8/8 w - - 69 118,e3e7,352
8/4R3/8/1k4K1/8/8/8/8 b - - 70 118,b5c4,334
8/4R3/8/6K1/2k5/8/8/8 w - - 71 119,e7d7,333
8/3R4/8/6K1/2k5/8/8/8 b - - 72 119,c4c3,325
8/3R4/8/6K1/8/2k5/8/8 w - - 73 120,g5g6,328
8/3R4/6K1/8/8/2k5/8/8 b - - 74 120,c3c2,323
8/3R4/6K1/8/8/8/2k5/8 w - - 75 121,d7d5,325
8/8/6K1/3R4/8/8/2k5/8 b - - 76 121,c2b2,313
8/8/6K1/3R4/8/8/1k6/8 w - - 77 122,d5d6,319
8/8/3R2K1/8/8/8/1k6/8 b - - 78 122,b2c3,310
8/8/3R2K1/8/8/2k5/8/8 w - - 79 123,g6f5,310
8/8/3R4/5K2/8/2k5/8/8 b - - 80 123,c3c4,303
8/8/3R4/5K2/2k5/8/8/8 w - - 81 124,d6g6,308
8/8/6R1/5K2/2k5/8/8/8 b - - 82 124,c4d3,301
8/8/6R1/5K2/8/3k4/8/8 w - - 83 125,g6d6,295
8/8/3R4/5K2/8/3k4/8/8 b - - 84 125,d3e2,292
8/8/3R4/5K2/8/8/4k3/8 w - - 85 126,f5e4,292
8/8/3R4/8/4K3/8/4k3/8 b - - 86 126,e2f2,294
8/8/3R4/8/4K3/8/5k2/8 w - - 87 127,e4f4,294
8/8/3R4/8/5K2/8/5k2/8 b - - 88 127,f2e2,285
8/8/3R4/8/5K2/8/4k3/8 w - - 89 128,f4e4,294
8/8/3R4/8/4K3/8/4k3/8 b - - 90 128,e2f2,274
8/8/3R4/8/4K3/8/5k2/8 w - - 91 129,d6f6,272
8/8/5R2/8/4K3/8/5k2/8 b - - 92 129,f2e2,3
8/8/5R2/8/4K3/8/4k3/8 w - - 93 130,f6e6,0
8/8/4R3/8/4K3/8/4k3/8 b - - 94 130,e2f2,0
8/8/4R3/8/4K3/8/5k2/8 w - - 95 131,e4d4,0
8/8/4R3/8/3K4/8/5k2/8 b - - 96 131,f2g2,0
8/8/4R3/8/3K4/8/6k1/8 w - - 97 132,e6g6,0
8/8/6R1/8/3K4/8/6k1/8 b - - 98 132,g2f2,0
rnbqk2r/p1pp3p/5ppn/1p6/3pP3/b4QP1/RPPP1P1P/1NB1KBR1 w kq - 2 9,f3a3,-70
rnbqk2r/p1pp3p/5ppn/1p6/3pP3/Q5P1/RPPP1P1P/1NB1KBR1 b kq - 0 9,c7c6,-80
rnbqk2r/p2p3p/2p2ppn/1p6/3pP3/Q5P1/RPPP1P1P/1NB1KBR1 w kq - 0 10,a3d6,-97
rnbqk2r/p2p3p/2pQ1ppn/1p6/3pP3/6P1/RPPP1P1P/1NB1KBR1 b kq - 1 10,a7a5,-89
rnbqk2r/3p3p/2pQ1ppn/pp6/3pP3/6P1/RPPP1P1P/1NB1KBR1 w kq - 0 11,b2b4,-83
rnbqk2r/3p3p/2pQ1ppn/pp6/1P1pP3/6P1/R1PP1P1P/1NB1KBR1 b kq - 0 11,h6f7,-67
rnbqk2r/3p1n1p/2pQ1pp1/pp6/1P1pP3/6P1/R1PP1P1P/1NB1KBR1 w kq - 1 12,d6d4,-59
rnbqk2r/3p1n1p/2p2pp1/pp6/1P1QP3/6P1/R1PP1P1P/1NB1KBR1 b kq - 0 12,b8a6,-108
r1bqk2r/3p1n1p/n1p2pp1/pp6/1P1QP3/6P1/R1PP1P1P/1NB1KBR1 w kq - 1 13,b4a5,-106
r1bqk2r/3p1n1p/n1p2pp1/Pp6/3QP3/6P1/R1PP1P1P/1NB1KBR1 b kq - 0 13,e8g8,-104
r1bq1rk1/3p1n1p/n1p2pp1/Pp6/3QP3/6P1/R1PP1P1P/1NB1KBR1 w - - 1 14,c1b2,-76
r1bq1rk1/3p1n1p/n1p2pp1/Pp6/3QP3/6P1/RBPP1P1P/1N2KBR1 b - - 2 14,f7g5,-97
r1bq1rk1/3p3p/n1p2pp1/Pp4n1/3QP3/6P1/RBPP1P1P/1N2KBR1 w - - 3 15,f1e2,-96
r1bq1rk1/3p3p/n1p2pp1/Pp4n1/3QP3/6P1/RBPPBP1P/1N2K1R1 b - - 4 15,d7d5,-82
r1bq1rk1/7p/n1p2pp1/Pp1p2n1/3QP3/6P1/RBPPBP1P/1N2K1R1 w - - 0 16,f2f3,-99
r1bq1rk1/7p/n1p2pp1/Pp1p2n1/3QP3/5PP1/RBPPB2P/1N2K1R1 b - - 0 16,g5e6,-145
r1bq1rk1/7p/n1p1npp1/Pp1p4/3QP3/5PP1/RBPPB2P/1N2K1R1 w - - 1 17,d4c3,-123
r1bq1rk1/7p/n1p1npp1/Pp1p4/4P3/2Q2PP1/RBPPB2P/1N2K1R1 b - - 2 17,c6c5,-115
r1bq1rk1/7p/n3npp1/Pppp4/4P3/2Q2PP1/RBPPB2P/1N2K1R1 w - - 0 18,c3b3,-132
r1bq1rk1/7p/n3npp1/Pppp4/4P3/1Q3PP1/RBPPB2P/1N2K1R1 b - - 1 18,e6c7,-130
r1bq1rk1/2n4p/n4pp1/Pppp4/4P3/1Q3PP1/RBPPB2P/1N2K1R1 w - - 2 19,e1f2,-109
r1bq1rk1/2n4p/n4pp1/Pppp4/4P3/1Q3PP1/RBPPBK1P/1N4R1 b - - 3 19,c8e6,-176
r2q1rk1/2n4p/n3bpp1/Pppp4/4P3/1Q3PP1/RBPPBK1P/1N4R1 w - - 4 20,a2a1,-160
r2q1rk1/2n4p/n3bpp1/Pppp4/4P3/1Q3PP1/1BPPBK1P/RN4R1 b - - 5 20,d5d4,-167
r2q1rk1/2n4p/n3bpp1/Ppp5/3pP3/1Q3PP1/1BPPBK1P/RN4R1 w - - 0 21,b3a3,-198
r2q1rk1/2n4p/n3bpp1/Ppp5/3pP3/Q4PP1/1BPPBK1P/RN4R1 b - - 1 21,f6f5,-202
r2q1rk1/2n4p/n3b1p1/Ppp2p2/3pP3/Q4PP1/1BPPBK1P/RN4R1 w - - 0 22,d2d3,-252
r2q1rk1/2n4p/n3b1p1/Ppp2p2/3pP3/Q2P1PP1/1BP1BK1P/RN4R1 b - - 0 22,b5b4,-147
r2q1rk1/2n4p/n3b1p1/P1p2p2/1p1pP3/Q2P1PP1/1BP1BK1P/RN4R1 w - - 0 23,a3a4,-186
r2q1rk1/2n4p/n3b1p1/P1p2p2/Qp1pP3/3P1PP1/1BP1BK1P/RN4R1 b - - 1 23,c5c4,-181
r2q1rk1/2n4p/n3b1p1/P4p2/QpppP3/3P1PP1/1BP1BK1P/RN4R1 w - - 0 24,d3c4,-163
r2q1rk1/2n4p/n3b1p1/P4p2/QpPpP3/5PP1/1BP1BK1P/RN4R1 b - - 0 24,f5e4,-215
r2q1rk1/2n4p/n3b1p1/P7/QpPpp3/5PP1/1BP1BK1P/RN4R1 w - - 0 25,a4c6,-200
r2q1rk1/2n4p/n1Q1b1p1/P7/1pPpp3/5PP1/1BP1BK1P/RN4R1 b - - 1 25,e4f3,-167
r2q1rk1/2n4p/n1Q1b1p1/P7/1pPp4/5pP1/1BP1BK1P/RN4R1 w - - 0 26,e2d3,-200
r2q1rk1/2n4p/n1Q1b1p1/P7/1pPp4/3B1pP1/1BP2K1P/RN4R1 b - - 1 26,b4b3,-160
r2q1rk1/2n4p/n1Q1b1p1/P7/2Pp4/1p1B1pP1/1BP2K1P/RN4R1 w - - 0 27,b2a3,-163
r2q1rk1/2n4p/n1Q1b1p1/P7/2Pp4/Bp1B1pP1/2P2K1P/RN4R1 b - - 1 27,b3c2,-287
r2q1rk1/2n4p/n1Q1b1p1/P7/2Pp4/B2B1pP1/2p2K1P/RN4R1 w - - 0 28,g1e1,-257
r2q1rk1/2n4p/n1Q1b1p1/P7/2Pp4/B2B1pP1/2p2K1P/RN2R3 b - - 1 28,c2b1r,-244
r2q1rk1/2n4p/n1Q1b1p1/P7/2Pp4/B2B1pP1/5K1P/Rr2R3 w - - 0 29,a1b1,-242
r2q1rk1/2n4p/n1Q1b1p1/P7/2Pp4/B2B1pP1/5K1P/1R2R3 b - - 0 29,d8g5,-252
r4rk1/2n4p/n1Q1b1p1/P5q1/2Pp4/B2B1pP1/5K1P/1R2R3 w - - 1 30,b1b2,-283
r4rk1/2n4p/n1Q1b1p1/P5q1/2Pp4/B2B1pP1/1R3K1P/4R3 b - - 2 30,f8e8,-265
r3r1k1/2n4p/n1Q1b1p1/P5q1/2Pp4/B2B1pP1/1R3K1P/4R3 w - - 3 31,a3d6,-304
r3r1k1/2n4p/n1QBb1p1/P5q1/2Pp4/3B1pP1/1R3K1P/4R3 b - - 4 31,a8b8,-277
1r2r1k1/2n4p/n1QBb1p1/P5q1/2Pp4/3B1pP1/1R3K1P/4R3 w - - 5 32,b2a2,-312
1r2r1k1/2n4p/n1QBb1p1/P5q1/2Pp4/3B1pP1/R4K1P/4R3 b - - 6 32,b8b3,-300
4r1k1/2n4p/n1QBb1p1/P5q1/2Pp4/1r1B1pP1/R4K1P/4R3 w - - 7 33,d3e4,-321
4r1k1/2n4p/n1QBb1p1/P5q1/2PpB3/1r3pP1/R4K1P/4R3 b - - 8 33,b3e3,-291
4r1k1/2n4p/n1QBb1p1/P5q1/2PpB3/4rpP1/R4K1P/4R3 w - - 9 34,e1b1,-367
4r1k1/2n4p/n1QBb1p1/P5q1/2PpB3/4rpP1/R4K1P/1R6 b - - 10 34,e6h3,-388
4r1k1/2n4p/n1QB2p1/P5q1/2PpB3/4rpPb/R4K1P/1R6 w - - 11 35,b1b5,-349
4r1k1/2n4p/n1QB2p1/PR4q1/2PpB3/4rpPb/R4K1P/8 b - - 12 35,g5g4,-458
4r1k1/2n4p/n1QB2p1/PR6/2PpB1q1/4rpPb/R4K1P/8 w - - 13 36,e4d5,-378
4r1k1/2n4p/n1QB2p1/PR1B4/2Pp2q1/4rpPb/R4K1P/8 b - - 14 36,c7d5,-465
4r1k1/7p/n1QB2p1/PR1n4/2Pp2q1/4rpPb/R4K1P/8 w - - 0 37,c6d5,-455
4r1k1/7p/n2B2p1/PR1Q4/2Pp2q1/4rpPb/R4K1P/8 b - - 0 37,g4e6,-471
4r1k1/7p/n2Bq1p1/PR1Q4/2Pp4/4rpPb/R4K1P/8 w - - 1 38,d5e6,-492
4r1k1/7p/n2BQ1p1/PR6/2Pp4/4rpPb/R4K1P/8 b - - 0 38,h3e6,-535
4r1k1/7p/n2Bb1p1/PR6/2Pp4/4rpP1/R4K1P/8 w - - 0 39,b5b6,-522
4r1k1/7p/nR1Bb1p1/P7/2Pp4/4rpP1/R4K1P/8 b - - 1 39,e6c4,-566
4r1k1/7p/nR1B2p1/P7/2bp4/4rpP1/R4K1P/8 w - - 0 40,a2b2,-582
4r1k1/7p/nR1B2p1/P7/2bp4/4rpP1/1R3K1P/8 b - - 1 40,e3e2,-557
4r1k1/7p/nR1B2p1/P7/2bp4/5pP1/1R2rK1P/8 w - - 2 41,f2f3,-536
4r1k1/7p/nR1B2p1/P7/2bp4/5KP1/1R2r2P/8 b - - 0 41,d4d3,-558
4r1k1/7p/nR1B2p1/P7/2b5/3p1KP1/1R2r2P/8 w - - 0 42,b2e2,-568
4r1k1/7p/nR1B2p1/P7/2b5/3p1KP1/4R2P/8 b - - 0 42,d3e2,-624
4r1k1/7p/nR1B2p1/P7/2b5/5KP1/4p2P/8 w - - 0 43,b6b1,-632
4r1k1/7p/n2B2p1/P7/2b5/5KP1/4p2P/1R6 b - - 1 43,e2e1q,-628
4r1k1/7p/n2B2p1/P7/2b5/5KP1/7P/1R2q3 w - - 0 44,b1e1,-605
4r1k1/7p/n2B2p1/P7/2b5/5KP1/7P/4R3 b - - 0 44,e8e1,-633
6k1/7p/n2B2p1/P7/2b5/5KP1/7P/4r3 w - - 0 45,h2h4,-627
6k1/7p/n2B2p1/P7/2b4P/5KP1/8/4r3 b - - 0 45,e1d1,-633
6k1/7p/n2B2p1/P7/2b4P/5KP1/8/3r4 w - - 1 46,h4h5,-598
6k1/7p/n2B2p1/P6P/2b5/5KP1/8/3r4 b - - 0 46,g6h5,-604
6k1/7p/n2B4/P6p/2b5/5KP1/8/3r4 w - - 0 47,d6b8,-686
1B4k1/7p/n7/P6p/2b5/5KP1/8/3r4 b - - 1 47,d1d3,-693
1B4k1/7p/n7/P6p/2b5/3r1KP1/8/8 w - - 2 48,f3f4,-664
1B4k1/7p/n7/P6p/2b2K2/3r2P1/8/8 b - - 3 48,a6b8,-3382
1n4k1/7p/8/P6p/2b2K2/3r2P1/8/8 w - - 0 49,f4g5,-3437
1n4k1/7p/8/P5Kp/2b5/3r2P1/8/8 b - - 1 49,c4f7,-708
1n4k1/5b1p/8/P5Kp/8/3r2P1/8/8 w - - 2 50,g5h4,-761
1n4k1/5b1p/8/P6p/7K/3r2P1/8/8 b - - 3 50,b8a6,-748
6k1/5b1p/n7/P6p/7K/3r2P1/8/8 w - - 4 51,h4h3,-775
6k1/5b1p/n7/P6p/8/3r2PK/8/8 b - - 5 51,h7h6,-815
6k1/5b2/n6p/P6p/8/3r2PK/8/8 w - - 0 52,h3g2,-802
6k1/5b2/n6p/P6p/8/3r2P1/6K1/8 b - - 1 52,f7e6,-811
6k1/8/n3b2p/P6p/8/3r2P1/6K1/8 w - - 2 53,g2h2,-839
6k1/8/n3b2p/P6p/8/3r2P1/7K/8 b - - 3 53,g8g7,-861
8/6k1/n3b2p/P6p/8/3r2P1/7K/8 w - - 4 54,h2g2,-826
8/6k1/n3b2p/P6p/8/3r2P1/6K1/8 b - - 5 54,a6c5,-3604
8/6k1/4b2p/P1n4p/8/3r2P1/6K1/8 w - - 6 55,a5a6,-3392
8/6k1/P3b2p/2n4p/8/3r2P1/6K1/8 b - - 0 55,d3g3,-3427
8/6k1/P3b2p/2n4p/8/6r1/6K1/8 w - - 0 56,g2g3,-3443
8/6k1/P3b2p/2n4p/8/6K1/8/8 b - - 0 56,c5a6,-3441
8/6k1/n3b2p/7p/8/6K1/8/8 w - - 0 57,g3h4,-3427
8/6k1/n3b2p/7p/7K/8/8/8 b - - 1 57,g7g6,-3436
8/8/n3b1kp/7p/7K/8/8/8 w - - 2 58,h4g3,-3430
8/8/n3b1kp/7p/8/6K1/8/8 b - - 3 58,g6g5,-3446
8/8/n3b2p/6kp/8/6K1/8/8 w - - 4 59,g3g2,-3446
8/8/n3b2p/6kp/8/8/6K1/8 b - - 5 59,g5g4,-3472
8/8/n3b2p/7p/6k1/8/6K1/8 w - - 6 60,g2f2,-3889
8/8/n3b2p/7p/6k1/8/5K2/8 b - - 7 60,h5h4,-3850
8/8/n3b2p/8/6kp/8/5K2/8 w - - 0 61,f2e3,-3850
8/8/n3b2p/8/6kp/4K3/8/8 b - - 1 61,g4g3,-3807
8/8/n3b2p/8/7p/4K1k1/8/8 w - - 2 62,e3e4,-3853
8/8/n3b2p/8/4K2p/6k1/8/8 b - - 3 62,h4h3,-3867
8/8/n3b2p/8/4K3/6kp/8/8 w - - 0 63,e4e5,-3862
8/8/n3b2p/4K3/8/6kp/8/8 b - - 1 63,h3h2,-3834
8/8/n3b2p/4K3/8/6k1/7p/8 w - - 0 64,e5e6,-3836
8/8/n3K2p/8/8/6k1/7p/8 b - - 0 64,h2h1q,-3870
8/8/n3K2p/8/8/6k1/8/7q w - - 0 65,e6e5,-3895
8/8/n6p/4K3/8/6k1/8/7q b - - 1 65,h6h5,-4331
8/8/n7/4K2p/8/6k1/8/7q w - - 0 66,e5d4,-4322
8/8/n7/7p/3K4/6k1/8/7q b - - 1 66,h1f1,-4436
8/8/n7/7p/3K4/6k1/8/5q2 w - - 2 67,d4d5,-4467
8/8/n7/3K3p/8/6k1/8/5q2 b - - 3 67,f1b5,-4478
8/8/n7/1q1K3p/8/6k1/8/8 w - - 4 68,d5e6,-4482
8/8/n3K3/1q5p/8/6k1/8/8 b - - 5 68,h5h4,-4523
8/8/n3K3/1q6/7p/6k1/8/8 w - - 0 69,e6f7,-4525
8/5K2/n7/1q6/7p/6k1/8/8 b - - 1 69,h4h3,-4535
8/5K2/n7/1q6/8/6kp/8/8 w - - 0 70,f7f8,-7
5K2/8/n7/1q6/8/6kp/8/8 b - - 1 70,h3h2,-8
5K2/8/n7/1q6/8/6k1/7p/8 w - - 0 71,f8g7,-7
8/6K1/n7/1q6/8/6k1/7p/8 b - - 1 71,b5d7,-4
8/3q2K1/n7/8/8/6k1/7p/8 w - - 2 72,g7g6,-5
8/3q4/n5K1/8/8/6k1/7p/8 b - - 3 72,h2h1q,-3
8/3q4/n5K1/8/8/6k1/8/7q w - - 0 73,g6f6,-2
8/3q4/n4K2/8/8/6k1/8/7q b - - 1 73,h1c6,-2
8/3q4/n1q2K2/8/8/6k1/8/8 w - - 2 74,f6g5,-1
8/3q4/n1q5/6K1/8/6k1/8/8 b - - 3 74,d7g4,-1
rnbqkb1r/pppppppp/7n/8/2P5/4P3/PP1P1PPP/RNBQKBNR b KQkq - 0 2,g7g6,45
rnbqkb1r/pppppp1p/6pn/8/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq - 0 3,b1c3,35
rnbqkb1r/pppppp1p/6pn/8/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq - 1 3,f8g7,58
rnbqk2r/ppppppbp/6pn/8/2P5/2N1P3/PP1P1PPP/R1BQKBNR w KQkq - 2 4,d2d4,52
rnbqk2r/ppppppbp/6pn/8/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq - 0 4,d7d6,50
rnbqk2r/ppp1ppbp/3p2pn/8/2PP4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 0 5,e3e4,54
rnbqk2r/ppp1ppbp/3p2pn/8/2PPP3/2N5/PP3PPP/R1BQKBNR b KQkq - 0 5,f7f5,58
rnbqk2r/ppp1p1bp/3p2pn/5p2/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 6,g1f3,53
rnbqk2r/ppp1p1bp/3p2pn/5p2/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq - 1 6,e8g8,49
rnbq1rk1/ppp1p1bp/3p2pn/5p2/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQ - 2 7,f1e2,53
rnbq1rk1/ppp1p1bp/3p2pn/5p2/2PPP3/2N2N2/PP2BPPP/R1BQK2R b KQ - 3 7,e7e5,43
rnbq1rk1/ppp3bp/3p2pn/4pp2/2PPP3/2N2N2/PP2BPPP/R1BQK2R w KQ - 0 8,d4e5,57
rnbq1rk1/ppp3bp/3p2pn/4Pp2/2P1P3/2N2N2/PP2BPPP/R1BQK2R b KQ - 0 8,d6e5,60
rnbq1rk1/ppp3bp/6pn/4pp2/2P1P3/2N2N2/PP2BPPP/R1BQK2R w KQ - 0 9,d1d8,51
rnbQ1rk1/ppp3bp/6pn/4pp2/2P1P3/2N2N2/PP2BPPP/R1B1K2R b KQ - 0 9,f8d8,65
rnbr2k1/ppp3bp/6pn/4pp2/2P1P3/2N2N2/PP2BPPP/R1B1K2R w KQ - 0 10,c1g5,54
rnbr2k1/ppp3bp/6pn/4ppB1/2P1P3/2N2N2/PP2BPPP/R3K2R b KQ - 1 10,d8d7,54
rnb3k1/pppr2bp/6pn/4ppB1/2P1P3/2N2N2/PP2BPPP/R3K2R w KQ - 2 11,f3e5,105
rnb3k1/pppr2bp/6pn/4NpB1/2P1P3/2N5/PP2BPPP/R3K2R b KQ - 0 11,g7e5,50
rnb3k1/pppr3p/6pn/4bpB1/2P1P3/2N5/PP2BPPP/R3K2R w KQ - 0 12,g5h6,63
rnb3k1/pppr3p/6pB/4bp2/2P1P3/2N5/PP2BPPP/R3K2R b KQ - 0 12,b8c6,85
r1b3k1/pppr3p/2n3pB/4bp2/2P1P3/2N5/PP2BPPP/R3K2R w KQ - 1 13,f2f4,85
r1b3k1/pppr3p/2n3pB/4bp2/2P1PP2/2N5/PP2B1PP/R3K2R b KQ - 0 13,e5c3,68
r1b3k1/pppr3p/2n3pB/5p2/2P1PP2/2b5/PP2B1PP/R3K2R w KQ - 0 14,b2c3,90
r1b3k1/pppr3p/2n3pB/5p2/2P1PP2/2P5/P3B1PP/R3K2R b KQ - 0 14,f5e4,81
r1b3k1/pppr3p/2n3pB/8/2P1pP2/2P5/P3B1PP/R3K2R w KQ - 0 15,g2g4,67
r1b3k1/pppr3p/2n3pB/8/2P1pPP1/2P5/P3B2P/R3K2R b KQ - 0 15,d7f7,75
r1b3k1/ppp2r1p/2n3pB/8/2P1pPP1/2P5/P3B2P/R3K2R w KQ - 1 16,h2h4,86
r1b3k1/ppp2r1p/2n3pB/8/2P1pPPP/2P5/P3B3/R3K2R b KQ - 0 16,c8e6,89
r5k1/ppp2r1p/2n1b1pB/8/2P1pPPP/2P5/P3B3/R3K2R w KQ - 1 17,h4h5,85
r5k1/ppp2r1p/2n1b1pB/7P/2P1pPP1/2P5/P3B3/R3K2R b KQ - 0 17,f7d7,86
r5k1/pppr3p/2n1b1pB/7P/2P1pPP1/2P5/P3B3/R3K2R w KQ - 1 18,a1b1,92
r5k1/pppr3p/2n1b1pB/7P/2P1pPP1/2P5/P3B3/1R2K2R b K - 2 18,b7b6,113
r5k1/p1pr3p/1pn1b1pB/7P/2P1pPP1/2P5/P3B3/1R2K2R w K - 0 19,f4f5,158
r5k1/p1pr3p/1pn1b1pB/5P1P/2P1p1P1/2P5/P3B3/1R2K2R b K - 0 19,e6f7,117
r5k1/p1pr1b1p/1pn3pB/5P1P/2P1p1P1/2P5/P3B3/1R2K2R w K - 1 20,h5g6,141
r5k1/p1pr1b1p/1pn3PB/5P2/2P1p1P1/2P5/P3B3/1R2K2R b K - 0 20,h7g6,98
r5k1/p1pr1b2/1pn3pB/5P2/2P1p1P1/2P5/P3B3/1R2K2R w K - 0 21,h6g5,174
r5k1/p1pr1b2/1pn3p1/5PB1/2P1p1P1/2P5/P3B3/1R2K2R b K - 1 21,d7d6,128
r5k1/p1p2b2/1pnr2p1/5PB1/2P1p1P1/2P5/P3B3/1R2K2R w K - 2 22,e1f2,168
