state,action,value
2r3k1/pQ2q2p/4pb2/P2p1pp1/3P1P2/2P1P2P/3N2P1/1R5K b - - 0 31,e7b7,-37
2r3k1/pq5p/4pb2/P2p1pp1/3P1P2/2P1P2P/3N2P1/1R5K w - - 0 32,b1b7,-14
2r3k1/pR5p/4pb2/P2p1pp1/3P1P2/2P1P2P/3N2P1/7K b - - 0 32,c8c3,-14
6k1/pR5p/4pb2/P2p1pp1/3P1P2/2r1P2P/3N2P1/7K w - - 0 33,f4g5,-21
6k1/pR5p/4pb2/P2p1pP1/3P4/2r1P2P/3N2P1/7K b - - 0 33,f6g5,-18
6k1/pR5p/4p3/P2p1pb1/3P4/2r1P2P/3N2P1/7K w - - 0 34,d2f3,-16
6k1/pR5p/4p3/P2p1pb1/3P4/2r1PN1P/6P1/7K b - - 1 34,g5e3,-36
6k1/pR5p/4p3/P2p1p2/3P4/2r1bN1P/6P1/7K w - - 0 35,b7a7,-10
6k1/R6p/4p3/P2p1p2/3P4/2r1bN1P/6P1/7K b - - 0 35,c3a3,0
6k1/R6p/4p3/P2p1p2/3P4/r3bN1P/6P1/7K w - - 1 36,g2g4,2
6k1/R6p/4p3/P2p1p2/3P2P1/r3bN1P/8/7K b - - 0 36,f5f4,0
6k1/R6p/4p3/P2p4/3P1pP1/r3bN1P/8/7K w - - 0 37,h3h4,18
6k1/R6p/4p3/P2p4/3P1pPP/r3bN2/8/7K b - - 0 37,h7h6,0
6k1/R7/4p2p/P2p4/3P1pPP/r3bN2/8/7K w - - 0 38,g4g5,0
6k1/R7/4p2p/P2p2P1/3P1p1P/r3bN2/8/7K b - - 0 38,h6g5,8
6k1/R7/4p3/P2p2p1/3P1p1P/r3bN2/8/7K w - - 0 39,f3g5,6
6k1/R7/4p3/P2p2N1/3P1p1P/r3b3/8/7K b - - 0 39,a3a4,13
6k1/R7/4p3/P2p2N1/r2P1p1P/4b3/8/7K w - - 1 40,a5a6,16
6k1/R7/P3p3/3p2N1/r2P1p1P/4b3/8/7K b - - 0 40,e3d4,14
6k1/R7/P3p3/3p2N1/r2b1p1P/8/8/7K w - - 0 41,a7a8,21
R5k1/8/P3p3/3p2N1/r2b1p1P/8/8/7K b - - 1 41,g8g7,21
R7/6k1/P3p3/3p2N1/r2b1p1P/8/8/7K w - - 2 42,g5e6,19
R7/6k1/P3N3/3p4/r2b1p1P/8/8/7K b - - 0 42,g7h7,14
R7/7k/P3N3/3p4/r2b1p1P/8/8/7K w - - 1 43,h1g2,16
R7/7k/P3N3/3p4/r2b1p1P/8/6K1/8 b - - 2 43,d4e3,17
R7/7k/P3N3/3p4/r4p1P/4b3/6K1/8 w - - 3 44,g2f3,17
R7/7k/P3N3/3p4/r4p1P/4bK2/8/8 b - - 4 44,a4a3,14
R7/7k/P3N3/3p4/5p1P/r3bK2/8/8 w - - 5 45,e6g5,18
R7/7k/P7/3p2N1/5p1P/r3bK2/8/8 b - - 6 45,h7g7,17
R7/6k1/P7/3p2N1/5p1P/r3bK2/8/8 w - - 7 46,h4h5,17
R7/6k1/P7/3p2NP/5p2/r3bK2/8/8 b - - 0 46,d5d4,21
R7/6k1/P7/6NP/3p1p2/r3bK2/8/8 w - - 0 47,g5e6,12
R7/6k1/P3N3/7P/3p1p2/r3bK2/8/8 b - - 1 47,g7f6,11
R7/8/P3Nk2/7P/3p1p2/r3bK2/8/8 w - - 2 48,a6a7,19
R7/P7/4Nk2/7P/3p1p2/r3bK2/8/8 b - - 0 48,d4d3,14
R7/P7/4Nk2/7P/5p2/r2pbK2/8/8 w - - 0 49,e6f4,21
R7/P7/5k2/7P/5N2/r2pbK2/8/8 b - - 0 49,d3d2,0
R7/P7/5k2/7P/5N2/r3bK2/3p4/8 w - - 0 50,f3e2,-1
R7/P7/5k2/7P/5N2/r3b3/3pK3/8 b - - 1 50,a3a7,0
R7/r7/5k2/7P/5N2/4b3/3pK3/8 w - - 0 51,f4d5,0
R7/r7/5k2/3N3P/8/4b3/3pK3/8 b - - 1 51,f6g5,0
R7/r7/8/3N2kP/8/4b3/3pK3/8 w - - 2 52,a8a7,0
8/R7/8/3N2kP/8/4b3/3pK3/8 b - - 0 52,d2d1q,0
8/R7/8/3N2kP/8/4b3/4K3/3q4 w - - 0 53,e2d1,0
8/R7/8/3N2kP/8/4b3/8/3K4 b - - 0 53,e3a7,0
8/b7/8/3N2kP/8/8/8/3K4 w - - 0 54,h5h6,0
8/b7/7P/3N2k1/8/8/8/3K4 b - - 0 54,g5g6,0
8/b7/6kP/3N4/8/8/8/3K4 w - - 1 55,d5e7,0
8/b3N3/6kP/8/8/8/8/3K4 b - - 2 55,g6h7,0
8/b3N2k/7P/8/8/8/8/3K4 w - - 3 56,e7g8,0
6N1/b6k/7P/8/8/8/8/3K4 b - - 4 56,a7c5,0
6N1/7k/7P/2b5/8/8/8/3K4 w - - 5 57,d1e1,0
6N1/7k/7P/2b5/8/8/8/4K3 b - - 6 57,c5a3,0
6N1/7k/7P/8/8/b7/8/4K3 w - - 7 58,e1d2,0
6N1/7k/7P/8/8/b7/3K4/8 b - - 8 58,a3b2,0
6N1/7k/7P/8/8/8/1b1K4/8 w - - 9 59,d2d3,0
6N1/7k/7P/8/8/3K4/1b6/8 b - - 10 59,b2f6,0
6N1/7k/5b1P/8/8/3K4/8/8 w - - 11 60,d3e3,1
